category_key,product_key,name_es,name_tr,name_en,description_es,description_tr,description_en,price_eur,ingredients_es,ingredients_tr,ingredients_en,allergens_csv,calories,spice_level,badge_es,badge_tr,badge_en,is_signature,is_anchor,is_available,sales_priority,order_index,image_filename
principales,carne-con-arroz,Carne con arroz,Pilavli Et,Beef with rice,Carne kebab con arroz aromatico y ensalada fresca.,Doner eti aromali pirinc pilavi ve taze salata ile.,Kebab meat with aromatic rice and fresh salad.,8.50,carne kebab|arroz|ensalada,et doner|pirinc|salata,kebab meat|rice|salad,,760,1,Mas pedido,En Sevilen,Most ordered,true,false,true,92,10,carne-con-arroz.jpg
principales,patatas-con-carne,Patatas con carne,Etli Patates,Fries with meat,Patatas crujientes con carne kebab y salsa.,Citir patates uzerinde kebap eti ve sos.,Crispy fries with kebab meat and sauce.,7.50,carne kebab|patatas|salsa,et doner|patates|sos,kebab meat|fries|sauce,gluten,820,1,,,,false,false,true,82,20,patatas-con-carne.jpg
principales,plato-kebab-patatas,Plato kebab + patatas,Kebap Tabagi + Patates,Kebab plate + fries,Plato completo con carne kebab patatas ensalada y salsa.,Doyurucu tabakta kebap eti patates salata ve sos.,Full plate with kebab meat fries salad and sauce.,8.90,carne kebab|patatas|ensalada,et doner|patates|salata,kebab meat|fries|salad,gluten,850,1,Eleccion del chef,Sefin Secimi,Chef's Choice,true,false,true,96,30,plato-kebab-patatas.jpg
principales,plato-kebab-arroz,Plato kebab + arroz,Kebap Tabagi + Pilav,Kebab plate + rice,Plato clasico con carne kebab arroz ensalada y salsas.,Klasik tabakta kebap eti pilav salata ve soslar.,Classic plate with kebab meat rice salad and sauces.,8.90,carne kebab|arroz|ensalada,et doner|pirinc|salata,kebab meat|rice|salad,,790,1,,,,false,false,true,88,40,plato-kebab-arroz.jpg
principales,plato-kebab,Plato kebab,Kebap Tabagi,Kebab plate,Racion de carne kebab con ensalada y salsas de la casa.,Bol kebap eti salata ve ev soslari ile.,Generous kebab meat with salad and house sauces.,7.90,carne kebab|ensalada|salsa,et doner|salata|sos,kebab meat|salad|sauce,,640,1,,,,false,false,true,78,50,plato-kebab.jpg
principales,kebab-pan,Kebab pan,Ekmek Arasi Kebap,Kebab sandwich,Pan tostado con carne kebab verduras y salsa.,Kizarmis ekmek icinde kebap eti yesillik ve sos.,Toasted bread with kebab meat greens and sauce.,5.50,pan|carne kebab|ensalada,ekmek|et doner|salata,bread|kebab meat|salad,gluten,560,1,,,,false,false,true,74,60,kebab-pan.jpg
principales,kebab-rollo,Kebab rollo,Kebap Durum,Kebab wrap,Rollo con carne kebab verduras y salsa.,Lavas icinde kebap eti yesillik ve sos.,Wrap with kebab meat greens and sauce.,6.00,carne kebab|verduras|salsa,et doner|yesillik|sos,kebab meat|greens|sauce,gluten,650,1,Mas pedido,En Sevilen,Most ordered,true,false,true,94,70,kebab-rollo.jpg
principales,lahmacun,Lahmacun,Lahmacun,Lahmacun,Masa fina con carne especiada y limon fresco.,Ince hamur uzerinde baharatli kiyma ve limon.,Thin dough with spiced minced meat and lemon.,6.50,masa|carne picada|limon,hamur|kiyma|limon,dough|minced meat|lemon,gluten,620,2,,,,false,false,true,80,80,lahmacun.jpg
principales,lahmacun-menu,Lahmacun menu,Lahmacun Menu,Lahmacun menu,Lahmacun con patatas salsa y bebida.,Lahmacun patates sos ve icecek ile.,Lahmacun with fries sauce and drink.,8.90,lahmacun|patatas|bebida,lahmacun|patates|icecek,lahmacun|fries|drink,gluten,940,2,,,,false,true,true,86,90,lahmacun-menu.jpg
principales,kebab-pan-menu,Kebab pan menu,Ekmek Arasi Kebap Menu,Kebab sandwich menu,Kebab en pan con patatas y bebida.,Ekmek arasi kebap patates ve icecek ile.,Kebab sandwich with fries and drink.,7.90,pan|carne kebab|patatas|bebida,ekmek|et doner|patates|icecek,bread|kebab meat|fries|drink,gluten,850,1,,,,false,false,true,83,100,kebab-pan-menu.jpg
