"category_id","category_es","product_id","name_es","name_tr","name_en","description_es","description_tr","description_en","price_eur","ingredients_es","ingredients_tr","ingredients_en","allergens","calories","spice_level","is_available","is_signature","sales_priority","order_index","image_url"
"principales","Principales","carne-con-arroz","Carne con arroz","Pilavli Et","Beef with rice","Carne kebab con arroz aromatico y ensalada fresca.","Doner eti aromali pirinc pilavi ve taze salata ile.","Kebab meat with aromatic rice and fresh salad.","8.50","carne kebab; arroz; ensalada","et doner; pirinc; salata","kebab meat; rice; salad","","760","1","yes","yes","92","10","/brand/real-istanbul-hero-kebab.png"
"principales","Principales","patatas-con-carne","Patatas con carne","Etli Patates","Fries with meat","Patatas crujientes con carne kebab y salsa.","Citir patates uzerinde kebap eti ve sos.","Crispy fries with kebab meat and sauce.","7.50","carne kebab; patatas; salsa","et doner; patates; sos","kebab meat; fries; sauce","gluten","820","1","yes","no","82","20","/brand/real-istanbul-hero-kebab.png"
"principales","Principales","plato-kebab-patatas","Plato kebab + patatas","Kebap Tabagi + Patates","Kebab plate + fries","Plato completo con carne kebab patatas ensalada y salsa.","Doyurucu tabakta kebap eti patates salata ve sos.","Full plate with kebab meat fries salad and sauce.","8.90","carne kebab; patatas; ensalada","et doner; patates; salata","kebab meat; fries; salad","gluten","850","1","yes","yes","96","30","/brand/real-istanbul-hero-kebab.png"
"principales","Principales","plato-kebab-arroz","Plato kebab + arroz","Kebap Tabagi + Pilav","Kebab plate + rice","Plato clasico con carne kebab arroz ensalada y salsas.","Klasik tabakta kebap eti pilav salata ve soslar.","Classic plate with kebab meat rice salad and sauces.","8.90","carne kebab; arroz; ensalada","et doner; pirinc; salata","kebab meat; rice; salad","","790","1","yes","no","88","40","/brand/real-istanbul-hero-kebab.png"
"principales","Principales","plato-kebab","Plato kebab","Kebap Tabagi","Kebab plate","Racion de carne kebab con ensalada y salsas de la casa.","Bol kebap eti salata ve ev soslari ile.","Generous kebab meat with salad and house sauces.","7.90","carne kebab; ensalada; salsa","et doner; salata; sos","kebab meat; salad; sauce","","640","1","yes","no","78","50","/brand/real-istanbul-hero-kebab.png"
"principales","Principales","kebab-pan","Kebab pan","Ekmek Arasi Kebap","Kebab sandwich","Pan tostado con carne kebab verduras y salsa.","Kizarmis ekmek icinde kebap eti yesillik ve sos.","Toasted bread with kebab meat greens and sauce.","5.50","pan; carne kebab; ensalada","ekmek; et doner; salata","bread; kebab meat; salad","gluten","560","1","yes","no","74","60","/brand/dish-kebab-pan.png"
"principales","Principales","kebab-rollo","Kebab rollo","Kebap Durum","Kebab wrap","Rollo con carne kebab verduras y salsa.","Lavas icinde kebap eti yesillik ve sos.","Wrap with kebab meat greens and sauce.","6.00","carne kebab; verduras; salsa","et doner; yesillik; sos","kebab meat; greens; sauce","gluten","650","1","yes","yes","94","70","/brand/dish-kebab-rollo.png"
"principales","Principales","lahmacun","Lahmacun","Lahmacun","Lahmacun","Masa fina con carne especiada y limon fresco.","Ince hamur uzerinde baharatli kiyma ve limon.","Thin dough with spiced minced meat and lemon.","6.50","masa; carne picada; limon","hamur; kiyma; limon","dough; minced meat; lemon","gluten","620","2","yes","no","80","80","/brand/dish-pizza-kebab.png"
"principales","Principales","lahmacun-menu","Lahmacun menu","Lahmacun Menu","Lahmacun menu","Lahmacun con patatas salsa y bebida.","Lahmacun patates sos ve icecek ile.","Lahmacun with fries sauce and drink.","8.90","lahmacun; patatas; bebida","lahmacun; patates; icecek","lahmacun; fries; drink","gluten","940","2","yes","no","86","90","/brand/dish-lahmacun.png"
"principales","Principales","kebab-pan-menu","Kebab pan menu","Ekmek Arasi Kebap Menu","Kebab sandwich menu","Kebab en pan con patatas y bebida.","Ekmek arasi kebap patates ve icecek ile.","Kebab sandwich with fries and drink.","7.90","pan; carne kebab; patatas; bebida","ekmek; et doner; patates; icecek","bread; kebab meat; fries; drink","gluten","850","1","yes","no","83","100","/brand/dish-kebab-pan.png"
"principales","Principales","kebab-rollo-menu","Kebab rollo menu","Kebap Durum Menu","Kebab wrap menu","Rollo kebab con patatas y bebida.","Kebap durum patates ve icecek ile.","Kebab wrap with fries and drink.","8.50","rollo; patatas; bebida","durum; patates; icecek","wrap; fries; drink","gluten","930","1","yes","yes","98","110","/brand/dish-kebab-rollo.png"
"fast-food","Complementos / Fast Food","hamburguesa-pollo-menu","Hamburguesa pollo menu","Tavuk Burger Menu","Chicken burger menu","Hamburguesa de pollo con patatas y bebida.","Tavuk burger patates ve icecek ile.","Chicken burger with fries and drink.","7.50","pollo; pan; patatas","pilic; ekmek; patates","chicken; bread; fries","gluten; egg","880","0","yes","no","74","10","/brand/dish-kebab-pan.png"
"fast-food","Complementos / Fast Food","rollo-pequeno","Rollo pequeno","Kucuk Durum","Small wrap","Rollo pequeno de kebab para una opcion ligera.","Hafif porsiyon icin kucuk kebap durum.","Small kebab wrap for a lighter option.","4.50","carne kebab; verduras; salsa","et doner; yesillik; sos","kebab meat; greens; sauce","gluten","470","1","yes","no","70","20","/brand/dish-kebab-rollo.png"
"fast-food","Complementos / Fast Food","falafel","Falafel","Falafel","Falafel","Croquetas de garbanzo con ensalada y salsa.","Nohut kofte salata ve sos ile.","Chickpea bites with salad and sauce.","6.00","garbanzo; ensalada; salsa","nohut; salata; sos","chickpea; salad; sauce","sesame","540","0","yes","yes","84","30","/brand/real-istanbul-hero-kebab.png"
"fast-food","Complementos / Fast Food","nuggets-pollo","Nuggets de pollo","Tavuk Nuggets","Chicken nuggets","Nuggets crujientes de pollo con salsa.","Citir tavuk parcalari ve dip sos.","Crispy chicken nuggets with dip.","5.50","pollo; rebozado; salsa","tavuk; pane; sos","chicken; breadcrumb; sauce","gluten; egg","520","0","yes","no","68","40","/brand/real-istanbul-hero-kebab.png"
"fast-food","Complementos / Fast Food","alitas-pollo","Alitas de pollo","Tavuk Kanat","Chicken wings","Alitas de pollo crujientes con salsa.","Soslu citir tavuk kanatlari.","Crispy chicken wings with sauce.","6.50","alitas; especias; salsa","tavuk kanat; baharat; sos","wings; spices; sauce","","690","2","yes","no","76","50","/brand/real-istanbul-hero-kebab.png"
"fast-food","Complementos / Fast Food","aros-cebolla","Aros de cebolla","Sogan Halkasi","Onion rings","Aros de cebolla dorados y crujientes.","Altin renkli citir sogan halkalari.","Golden crispy onion rings.","4.00","cebolla; rebozado","sogan; pane","onion; breadcrumb","gluten","430","0","yes","no","58","60","/brand/real-istanbul-hero-kebab.png"
"fast-food","Complementos / Fast Food","patatas-fritas","Patatas fritas","Patates Kizartmasi","French fries","Patatas fritas clasicas y crujientes.","Klasik citir patates kizartmasi.","Classic crispy french fries.","3.50","patatas","patates","potatoes","","390","0","yes","no","64","70","/brand/real-istanbul-hero-kebab.png"
"fast-food","Complementos / Fast Food","patatas-deluxe","Patatas deluxe","Deluxe Patates","Deluxe potatoes","Patatas especiadas con salsa especial.","Baharatli deluxe patates ve ozel sos.","Seasoned deluxe potatoes with special sauce.","4.50","patatas; especias; salsa","patates; baharat; sos","potatoes; spices; sauce","milk","510","1","yes","no","82","80","/brand/real-istanbul-hero-kebab.png"
"fast-food","Complementos / Fast Food","papas-horno","Papas al horno","Firin Patates","Baked potato","Papa al horno con salsa y topping caliente.","Firin patates sos ve sicak garnitur ile.","Baked potato with sauce and warm topping.","5.50","papa; salsa; topping","patates; sos; garnitur","potato; sauce; topping","milk","620","0","yes","no","66","90","/brand/real-istanbul-hero-kebab.png"
"especiales","Especiales","pizza-kebab","Pizza kebab","Kebap Pizza","Kebab pizza","Pizza con carne kebab salsa y queso fundido.","Kebap eti ile hazirlanan bol malzemeli pizza.","Pizza with kebab meat sauce and melted cheese.","8.90","masa; carne kebab; queso","hamur; kebap eti; peynir","dough; kebab meat; cheese","gluten; milk","940","1","yes","yes","91","10","/brand/dish-pizza-kebab.png"
